# freq,amp,phi
5.860702746088720438e+00,1.920920166839547825e-03,-1.658014360992199565e+00
5.462216889321585001e+00,2.883788150398528677e-03,-1.121787645778416831e+00
5.534497181853144987e+00,2.513230463760971010e-03,2.086646291340729320e+00
5.310483323179889581e+00,2.262707752145650536e-03,1.027718171151774662e+00
4.971995481572219155e+00,3.101193748976233816e-03,-3.029955711603412816e+00
6.934193502500532347e+00,1.973683386527876060e-03,8.509644810653167468e-01
6.340644930605712659e+00,2.769824039353531442e-03,-1.897803040663267549e+00
5.083139221191401269e+00,1.278758219121760948e-03,2.740969989393921225e+00
5.255997228220661732e+00,2.994167195181836674e-03,1.726378443639677407e+00
4.904250171605013087e+00,1.974411183753565883e-03,-2.117587669263980565e+00
5.887127894780468829e+00,2.064733959084864498e-03,-2.416459982781659743e+00
5.972013899046835661e+00,2.160310370339472985e-03,5.922991464328464239e-01
4.981178163542700155e+00,2.588069943744024902e-03,2.814525402429175038e+00
6.134312512786739724e+00,3.122437053373208673e-03,-2.574890308308348530e+00
5.481401611576639965e+00,1.631476038378668709e-03,2.020243805251138447e+00
5.230791702881811389e+00,1.962557381359806771e-03,-1.981462069433859607e+00
5.122325945823364535e+00,1.412578697362988590e-03,2.735937337489876775e+00
8.426903840782449251e+00,2.138305368461914692e-03,-9.596049230457635026e-01
6.537309469171811216e+00,2.116776890144134084e-03,-5.519246843817273707e-01
6.416470616355358203e+00,2.666351692975293432e-03,-1.217139551658781738e+00
5.641377518402551416e+00,3.852003635369083412e-03,1.902772760578130828e+00
6.545381425246111995e+00,3.247037994484596596e-03,1.559297783702601414e+00
5.868213954739637472e+00,2.664228965686500639e-03,1.755461291115683942e+00
5.695640165215488437e+00,2.027513553160060177e-03,8.691367258305255916e-01
6.667414137788368222e+00,2.240258014068859972e-03,-2.627284130837025167e+00
6.607961825163529923e+00,4.125419979717569186e-03,-2.279940458376246148e+00
6.469735216237443964e+00,2.796212302960459847e-03,-2.397793542250817200e+00
6.914340853167463941e+00,1.514118451927176949e-03,2.177314465935038079e+00
4.936982669320289396e+00,2.531486140824633965e-03,-1.634340473955051110e+00
9.826728160090240749e+00,2.867089781937886585e-03,8.061057328581888726e-02
4.982340043131646468e+00,2.820859203697552095e-03,6.238831503371611298e-01
6.836957875411356689e+00,1.718476650343452299e-03,6.394697824883626147e-01
7.680546276201930311e+00,2.601291351144805440e-03,1.063002957992749131e-01
6.158679602627461946e+00,2.692004929257916720e-03,-7.170615571048655212e-02
