# freq,amp,phi
1.055855611579340492e+00,4.066666039695680801e-03,-2.169717720489560353e+00
1.137060516183650005e+00,2.534925671414491651e-03,-2.980139694798232597e+00
9.164609979550641938e+00,2.696270800243686164e-03,1.205413680694868539e+00
3.589621262449050887e-01,2.154061881130838081e-03,1.038156960943449114e+00
4.740759946437463235e+00,2.802588666502315966e-03,-1.418923495761618581e+00
5.065575071341281266e+00,3.624308509597509720e-03,9.595150343112388569e-01
4.412069965196064203e+00,2.979484772948529092e-03,-2.024279488976059582e+00
2.552653291045705153e+00,2.000308466263173591e-03,-1.977507482000953720e+00
3.149733080044893274e+00,2.632097803918452116e-03,-1.418331542269754886e+00
1.022390199626388885e+00,2.501781462145713422e-03,2.669395442926338902e+00
3.788792864215616785e+00,4.115182781344730450e-03,2.218097076353960695e+00
7.883985143298242182e-01,5.408956768251992758e-03,-1.946076840295838162e+00
2.794197708710565387e+00,4.490412918908993217e-03,1.914573946118841796e+00
3.767558511097437446e+00,2.017663892405928503e-03,1.008086444719307195e+00
3.391932057527861311e+00,2.323587126168896733e-03,-8.453662088931883645e-01
2.972143263330485841e+00,3.429075884187845081e-03,-2.480010307865538444e+00
3.828258058294953248e+00,4.060052706716579113e-03,-2.074461973594738495e+00
3.460221752374379900e+00,3.955217639001966379e-03,3.072237928319749400e+00
1.299528074152516588e+00,1.249691802722263483e-03,1.662187278758294084e+00
7.908165661283775627e+00,2.468506972295011082e-03,5.093723924854418605e-01
3.532585801370139222e+00,2.829203570968500097e-03,2.231752124994983433e+00
2.903546403548045607e+00,2.772024105981209588e-03,-2.458709912237952988e+00
7.684804666845399979e+00,2.665866134248700073e-03,-1.497198308567817104e+00
6.572330212472981437e+00,4.392428925348412783e-03,2.328508245018634959e+00
2.267397888123352967e+00,3.664978063815130423e-03,1.256274446982782678e+00
1.969667651511275874e+00,1.306798063395001128e-03,-1.045961856106890853e+00
6.962046299247075076e+00,2.623268910538523700e-03,2.745727939272632590e+00
1.186664246961887992e+00,3.640475739692151068e-03,-1.542523181232720475e+00
5.330205391601131382e+00,3.271672359236248162e-03,3.061582160544351616e+00
2.922200406150002649e+00,2.396782814786473613e-03,-5.937790131104225821e-02
2.250649244976574703e+00,2.115300923875015199e-03,-1.562800495101570597e-01
2.340546545175784754e+00,2.127098471834102181e-03,1.946642210399824435e+00
1.372229932301663347e+00,1.555745136511719334e-03,-2.180579383666655602e+00
6.523671553894694775e+00,3.582279199484531169e-03,-1.859263513316232741e+00
3.679929060575309663e+00,2.384242545743652485e-03,1.712226140608282599e+00
3.568928031474456919e+00,3.402336464811675423e-03,9.851074245886639602e-01
2.737482325960158835e+00,1.672023401487961062e-03,1.716644403967197974e-01
3.596858152335456804e+00,2.507956768904832587e-03,-2.416557676138894273e+00
7.121206718047708328e+00,1.570453686893374945e-03,-1.561151546254692768e+00
4.438672219961501852e+00,2.411811013084626081e-03,-1.168878360701318675e+00
4.677910352916136105e+00,2.047210459005776358e-03,2.496444054556539172e+00
2.533264999757679714e+00,1.524395372736683969e-03,9.642739222086698092e-01
1.918452048169472235e+00,2.067239452190167484e-03,5.968541439136463289e-01
2.182430516206132154e+00,2.889101864477983377e-03,1.253827704026250878e+00
6.550637499959250043e+00,2.333066892431677562e-03,1.614461169772531512e+00
